lat,lon,time,type
59.944912,30.359381,2018-04-03T10:13:40,foot
59.945116,30.359384,2018-04-03T10:13:50,foot
59.945321,30.359388,2018-04-03T10:14:00,foot
59.945525,30.359392,2018-04-03T10:14:10,foot
59.945729,30.359396,2018-04-03T10:14:20,foot
59.945933,30.359399,2018-04-03T10:14:30,foot
59.946137,30.359403,2018-04-03T10:14:40,foot
59.946342,30.359407,2018-04-03T10:14:50,foot
59.946546,30.359410,2018-04-03T10:15:00,foot
59.946750,30.359414,2018-04-03T10:15:10,foot
59.946954,30.359418,2018-04-03T10:15:20,foot
59.947158,30.359422,2018-04-03T10:15:30,foot
59.947362,30.359425,2018-04-03T10:15:40,foot
59.947567,30.359429,2018-04-03T10:15:50,foot
59.947771,30.359433,2018-04-03T10:16:00,foot
59.947975,30.359436,2018-04-03T10:16:10,foot
59.948179,30.359440,2018-04-03T10:16:20,foot
59.948383,30.359444,2018-04-03T10:16:30,foot
59.948588,30.359448,2018-04-03T10:16:40,foot
59.948792,30.359451,2018-04-03T10:16:50,foot
59.948996,30.359455,2018-04-03T10:17:00,foot
59.948984,30.359672,2018-04-03T10:17:10,foot
59.948972,30.359889,2018-04-03T10:17:20,foot
59.948960,30.360106,2018-04-03T10:17:30,foot
59.948948,30.360323,2018-04-03T10:17:40,foot
59.948935,30.360539,2018-04-03T10:17:50,foot
59.948923,30.360756,2018-04-03T10:18:00,foot
59.948911,30.360973,2018-04-03T10:18:10,foot
59.948899,30.361190,2018-04-03T10:18:20,foot
59.948896,30.361391,2018-04-03T10:18:30,foot
59.948894,30.361592,2018-04-03T10:18:40,foot
59.948891,30.361793,2018-04-03T10:18:50,foot
59.948888,30.361994,2018-04-03T10:19:00,foot
59.948886,30.362195,2018-04-03T10:19:10,foot
59.948883,30.362395,2018-04-03T10:19:20,foot
59.948881,30.362596,2018-04-03T10:19:30,foot
59.948878,30.362797,2018-04-03T10:19:40,foot
59.948875,30.362998,2018-04-03T10:19:50,foot
59.948873,30.363199,2018-04-03T10:20:00,foot
59.948870,30.363400,2018-04-03T10:20:10,foot
59.948867,30.363601,2018-04-03T10:20:20,foot
59.948865,30.363802,2018-04-03T10:20:30,foot
59.948862,30.364003,2018-04-03T10:20:40,foot
59.948859,30.364204,2018-04-03T10:20:50,foot
59.948857,30.364405,2018-04-03T10:21:00,foot
59.948854,30.364605,2018-04-03T10:21:10,foot
59.948852,30.364806,2018-04-03T10:21:20,foot
59.948849,30.365007,2018-04-03T10:21:30,foot
59.948846,30.365208,2018-04-03T10:21:40,foot
59.948844,30.365409,2018-04-03T10:21:50,foot
59.948841,30.365610,2018-04-03T10:22:00,foot
59.948838,30.365811,2018-04-03T10:22:10,foot
59.948836,30.366012,2018-04-03T10:22:20,foot
59.948833,30.366213,2018-04-03T10:22:30,foot
59.948830,30.366414,2018-04-03T10:22:40,foot
59.948828,30.366615,2018-04-03T10:22:50,foot
59.948825,30.366815,2018-04-03T10:23:00,foot
59.948823,30.367016,2018-04-03T10:23:10,foot
59.948820,30.367217,2018-04-03T10:23:20,foot
59.948817,30.367418,2018-04-03T10:23:30,foot
59.948815,30.367619,2018-04-03T10:23:40,foot
59.948812,30.367820,2018-04-03T10:23:50,foot
59.948810,30.368022,2018-04-03T10:24:00,foot
59.948807,30.368223,2018-04-03T10:24:10,foot
59.948805,30.368425,2018-04-03T10:24:20,foot
59.948802,30.368627,2018-04-03T10:24:30,foot
59.948800,30.368829,2018-04-03T10:24:40,foot
59.948797,30.369030,2018-04-03T10:24:50,foot
59.948795,30.369232,2018-04-03T10:25:00,foot
59.948792,30.369434,2018-04-03T10:25:10,foot
59.948790,30.369636,2018-04-03T10:25:20,foot
59.948787,30.369837,2018-04-03T10:25:30,foot
59.948785,30.370039,2018-04-03T10:25:40,foot
59.948782,30.370241,2018-04-03T10:25:50,foot
59.948780,30.370443,2018-04-03T10:26:00,foot
59.948778,30.370644,2018-04-03T10:26:10,foot
59.948775,30.370846,2018-04-03T10:26:20,foot
59.948773,30.371048,2018-04-03T10:26:30,foot
59.948770,30.371249,2018-04-03T10:26:40,foot
59.948768,30.371451,2018-04-03T10:26:50,foot
59.948765,30.371653,2018-04-03T10:27:00,foot
59.948763,30.371855,2018-04-03T10:27:10,foot
59.948760,30.372056,2018-04-03T10:27:20,foot
59.948758,30.372258,2018-04-03T10:27:30,foot
59.948755,30.372460,2018-04-03T10:27:40,foot
59.948753,30.372662,2018-04-03T10:27:50,foot
59.948750,30.372863,2018-04-03T10:28:00,foot
59.948748,30.373065,2018-04-03T10:28:10,foot
59.948745,30.373267,2018-04-03T10:28:20,foot
59.948743,30.373468,2018-04-03T10:28:30,foot
59.948741,30.373670,2018-04-03T10:28:40,foot
59.948738,30.373872,2018-04-03T10:28:50,foot
59.948736,30.374074,2018-04-03T10:29:00,foot
59.948733,30.374275,2018-04-03T10:29:10,foot
59.948731,30.374477,2018-04-03T10:29:20,foot
59.948728,30.374679,2018-04-03T10:29:30,foot
59.948726,30.374881,2018-04-03T10:29:40,foot
59.948723,30.375082,2018-04-03T10:29:50,foot
59.948721,30.375284,2018-04-03T10:30:00,foot
59.948718,30.375486,2018-04-03T10:30:10,foot
59.948716,30.375688,2018-04-03T10:30:20,foot
59.948713,30.375889,2018-04-03T10:30:30,foot
59.948711,30.376091,2018-04-03T10:30:40,foot
59.948705,30.376386,2018-04-03T19:01:20,car
59.948702,30.376588,2018-04-03T19:01:30,car
59.948700,30.376789,2018-04-03T19:01:40,car
59.948697,30.376991,2018-04-03T19:01:50,car
59.948694,30.377192,2018-04-03T19:02:00,car
59.948691,30.377394,2018-04-03T19:02:10,car
59.948689,30.377595,2018-04-03T19:02:20,car
59.948686,30.377797,2018-04-03T19:02:30,car
59.948683,30.377999,2018-04-03T19:02:40,car
59.948680,30.378200,2018-04-03T19:02:50,car
59.948678,30.378402,2018-04-03T19:03:00,car
59.948675,30.378603,2018-04-03T19:03:10,car
59.948672,30.378805,2018-04-03T19:03:20,car
59.948669,30.379006,2018-04-03T19:03:30,car
59.948667,30.379208,2018-04-03T19:03:40,car
59.948664,30.379410,2018-04-03T19:03:50,car
59.948661,30.379611,2018-04-03T19:04:00,car
59.948658,30.379813,2018-04-03T19:04:10,car
59.948656,30.380014,2018-04-03T19:04:20,car
59.948653,30.380216,2018-04-03T19:04:30,car
59.948650,30.380417,2018-04-03T19:04:40,car
59.948647,30.380619,2018-04-03T19:04:50,car
59.948645,30.380821,2018-04-03T19:05:00,car
59.948642,30.381022,2018-04-03T19:05:10,car
59.948639,30.381224,2018-04-03T19:05:20,car
59.948636,30.381425,2018-04-03T19:05:30,car
59.948634,30.381627,2018-04-03T19:05:40,car
59.948631,30.381828,2018-04-03T19:05:50,car
59.948628,30.382030,2018-04-03T19:06:00,car
59.948625,30.382232,2018-04-03T19:06:10,car
59.948623,30.382433,2018-04-03T19:06:20,car
