lat,lon,date,type
59.944708,30.359377,2018-04-03T10:13:30,foot
59.944912,30.359381,2018-04-03T10:13:40,foot
59.945116,30.359384,2018-04-03T10:13:50,foot
59.945321,30.359388,2018-04-03T10:14:00,foot
59.945525,30.359392,2018-04-03T10:14:10,foot
59.945729,30.359396,2018-04-03T10:14:20,foot
59.945933,30.359399,2018-04-03T10:14:30,foot
59.946137,30.359403,2018-04-03T10:14:40,foot
59.946342,30.359407,2018-04-03T10:14:50,foot
59.946546,30.359410,2018-04-03T10:15:00,foot
59.946750,30.359414,2018-04-03T10:15:10,foot
59.946954,30.359418,2018-04-03T10:15:20,foot
59.947158,30.359422,2018-04-03T10:15:30,foot
59.947362,30.359425,2018-04-03T10:15:40,foot
59.947567,30.359429,2018-04-03T10:15:50,foot
59.947771,30.359433,2018-04-03T10:16:00,foot
59.947975,30.359436,2018-04-03T10:16:10,foot
59.948179,30.359440,2018-04-03T10:16:20,foot
59.948383,30.359444,2018-04-03T10:16:30,foot
59.948588,30.359448,2018-04-03T10:16:40,foot
59.948792,30.359451,2018-04-03T10:16:50,foot
59.948996,30.359455,2018-04-03T10:17:00,foot
59.948984,30.359672,2018-04-03T10:17:10,foot
59.948972,30.359889,2018-04-03T10:17:20,foot
59.948960,30.360106,2018-04-03T10:17:30,foot
59.948948,30.360323,2018-04-03T10:17:40,foot
59.948935,30.360539,2018-04-03T10:17:50,foot
59.948923,30.360756,2018-04-03T10:18:00,foot
59.948911,30.360973,2018-04-03T10:18:10,foot
59.948899,30.361190,2018-04-03T10:18:20,foot
59.948896,30.361391,2018-04-03T10:18:30,foot
59.948894,30.361592,2018-04-03T10:18:40,foot
59.948891,30.361793,2018-04-03T10:18:50,foot
59.948888,30.361994,2018-04-03T10:19:00,foot
59.948886,30.362195,2018-04-03T10:19:10,foot
59.948883,30.362395,2018-04-03T10:19:20,foot
59.948881,30.362596,2018-04-03T10:19:30,foot
59.948878,30.362797,2018-04-03T10:19:40,foot
59.948875,30.362998,2018-04-03T10:19:50,foot
59.948873,30.363199,2018-04-03T10:20:00,foot
59.948870,30.363400,2018-04-03T10:20:10,foot
59.948867,30.363601,2018-04-03T10:20:20,foot
59.948865,30.363802,2018-04-03T10:20:30,foot
59.948862,30.364003,2018-04-03T10:20:40,foot
59.948859,30.364204,2018-04-03T10:20:50,foot
59.948857,30.364405,2018-04-03T10:21:00,foot
59.948854,30.364605,2018-04-03T10:21:10,foot
59.948852,30.364806,2018-04-03T10:21:20,foot
59.948849,30.365007,2018-04-03T10:21:30,foot
59.948846,30.365208,2018-04-03T10:21:40,foot
59.948844,30.365409,2018-04-03T10:21:50,foot
59.948841,30.365610,2018-04-03T10:22:00,foot
59.948838,30.365811,2018-04-03T10:22:10,foot
59.948836,30.366012,2018-04-03T10:22:20,foot
59.948833,30.366213,2018-04-03T10:22:30,foot
59.948830,30.366414,2018-04-03T10:22:40,foot
59.948828,30.366615,2018-04-03T10:22:50,foot
59.948825,30.366815,2018-04-03T10:23:00,foot
59.948823,30.367016,2018-04-03T10:23:10,foot
59.948820,30.367217,2018-04-03T10:23:20,foot
59.948817,30.367418,2018-04-03T10:23:30,foot
59.948815,30.367619,2018-04-03T10:23:40,foot
59.948812,30.367820,2018-04-03T10:23:50,foot
59.948810,30.368022,2018-04-03T10:24:00,foot
59.948807,30.368223,2018-04-03T10:24:10,foot
