lat,lon,date,type
59.869504,30.309013,2018-03-25T11:10:10,car
59.869389,30.309181,2018-03-25T11:10:20,car
59.869273,30.309348,2018-03-25T11:10:30,car
59.869158,30.309515,2018-03-25T11:10:40,car
59.869042,30.309683,2018-03-25T11:10:50,car
59.868927,30.309850,2018-03-25T11:11:00,car
59.868812,30.310018,2018-03-25T11:11:10,car
59.868696,30.310185,2018-03-25T11:11:20,car
59.868581,30.310353,2018-03-25T11:11:30,car
59.868465,30.310520,2018-03-25T11:11:40,car
59.868350,30.310688,2018-03-25T11:11:50,car
59.868235,30.310855,2018-03-25T11:12:00,car
59.868119,30.311023,2018-03-25T11:12:10,car
59.868004,30.311190,2018-03-25T11:12:20,car
59.867888,30.311358,2018-03-25T11:12:30,car
59.867773,30.311526,2018-03-25T11:12:40,car
59.867658,30.311693,2018-03-25T11:12:50,car
59.867542,30.311861,2018-03-25T11:13:00,car
59.867427,30.312028,2018-03-25T11:13:10,car
59.867311,30.312196,2018-03-25T11:13:20,car
59.867196,30.312363,2018-03-25T11:13:30,car
59.867081,30.312531,2018-03-25T11:13:40,car
59.866965,30.312698,2018-03-25T11:13:50,car
59.866850,30.312866,2018-03-25T11:14:00,car
59.866734,30.313033,2018-03-25T11:14:10,car
59.866619,30.313201,2018-03-25T11:14:20,car
59.866504,30.313368,2018-03-25T11:14:30,car
59.866388,30.313536,2018-03-25T11:14:40,car
59.866273,30.313703,2018-03-25T11:14:50,car
59.866157,30.313871,2018-03-25T11:15:00,car
59.866042,30.314038,2018-03-25T11:15:10,car
59.866046,30.314243,2018-03-25T11:15:20,car
59.866051,30.314447,2018-03-25T11:15:30,car
59.866055,30.314652,2018-03-25T11:15:40,car
59.866060,30.314857,2018-03-25T11:15:50,car
59.866064,30.315061,2018-03-25T11:16:00,car
59.866068,30.315266,2018-03-25T11:16:10,car
59.866073,30.315471,2018-03-25T11:16:20,car
59.866077,30.315676,2018-03-25T11:16:30,car
59.866082,30.315880,2018-03-25T11:16:40,car
59.866086,30.316085,2018-03-25T11:16:50,car
59.866090,30.316290,2018-03-25T11:17:00,car
59.866095,30.316494,2018-03-25T11:17:10,car
59.866099,30.316699,2018-03-25T11:17:20,car
59.866104,30.316904,2018-03-25T11:17:30,car
59.866108,30.317108,2018-03-25T11:17:40,car
59.866112,30.317313,2018-03-25T11:17:50,car
59.866117,30.317518,2018-03-25T11:18:00,car
59.866121,30.317723,2018-03-25T11:18:10,car
59.866125,30.317927,2018-03-25T11:18:20,car
59.866130,30.318132,2018-03-25T11:18:30,car
59.866134,30.318337,2018-03-25T11:18:40,car
59.866139,30.318541,2018-03-25T11:18:50,car
59.866143,30.318746,2018-03-25T11:19:00,car
59.866147,30.318951,2018-03-25T11:19:10,car
59.866152,30.319155,2018-03-25T11:19:20,car
59.866156,30.319360,2018-03-25T11:19:30,car
59.866161,30.319565,2018-03-25T11:19:40,car
59.866165,30.319770,2018-03-25T11:19:50,car
59.866169,30.319974,2018-03-25T11:20:00,car
59.866174,30.320179,2018-03-25T11:20:10,car
59.866178,30.320384,2018-03-25T11:20:20,car
59.866183,30.320588,2018-03-25T11:20:30,car
59.866187,30.320793,2018-03-25T11:20:40,car
59.866392,30.320783,2018-03-25T11:20:50,car
59.866597,30.320772,2018-03-25T11:21:00,car
59.866802,30.320762,2018-03-25T11:21:10,car
59.867007,30.320752,2018-03-25T11:21:20,car
59.867212,30.320741,2018-03-25T11:21:30,car
59.867417,30.320731,2018-03-25T11:21:40,car
59.867622,30.320721,2018-03-25T11:21:50,car
59.867827,30.320710,2018-03-25T11:22:00,car
59.868032,30.320700,2018-03-25T11:22:10,car
59.868237,30.320690,2018-03-25T11:22:20,car
59.868442,30.320679,2018-03-25T11:22:30,car
59.868647,30.320669,2018-03-25T11:22:40,car
59.868852,30.320659,2018-03-25T11:22:50,car
59.869057,30.320648,2018-03-25T11:23:00,car
59.869262,30.320638,2018-03-25T11:23:10,car
59.869467,30.320628,2018-03-25T11:23:20,car
59.869672,30.320617,2018-03-25T11:23:30,car
59.869877,30.320607,2018-03-25T11:23:40,car
59.870082,30.320597,2018-03-25T11:23:50,car
59.870287,30.320586,2018-03-25T11:24:00,car
59.870492,30.320576,2018-03-25T11:24:10,car
59.870697,30.320566,2018-03-25T11:24:20,car
59.870902,30.320555,2018-03-25T11:24:30,car
59.871107,30.320545,2018-03-25T11:24:40,car
59.871312,30.320535,2018-03-25T11:24:50,car
59.871517,30.320524,2018-03-25T11:25:00,car
59.871722,30.320514,2018-03-25T11:25:10,car
59.871724,30.320715,2018-03-25T11:25:20,car
59.871726,30.320915,2018-03-25T11:25:30,car
59.871728,30.321116,2018-03-25T11:25:40,car
59.871730,30.321316,2018-03-25T11:25:50,car
59.871731,30.321517,2018-03-25T11:26:00,car
59.871733,30.321718,2018-03-25T11:26:10,car
59.871735,30.321918,2018-03-25T11:26:20,car
59.871737,30.322119,2018-03-25T11:26:30,car
59.871739,30.322320,2018-03-25T11:26:40,car
59.871741,30.322520,2018-03-25T11:26:50,car
59.871743,30.322721,2018-03-25T11:27:00,car
59.871744,30.322921,2018-03-25T11:27:10,car
59.871746,30.323122,2018-03-25T11:27:20,car
59.871748,30.323323,2018-03-25T11:27:30,car
59.871750,30.323523,2018-03-25T11:27:40,car
59.871752,30.323724,2018-03-25T11:27:50,car
59.871754,30.323925,2018-03-25T11:28:00,car
59.871756,30.324125,2018-03-25T11:28:10,car
59.871758,30.324326,2018-03-25T11:28:20,car
59.871759,30.324526,2018-03-25T11:28:30,car
59.871761,30.324727,2018-03-25T11:28:40,car
59.871763,30.324928,2018-03-25T11:28:50,car
59.871765,30.325128,2018-03-25T11:29:00,car
59.871767,30.325329,2018-03-25T11:29:10,car
59.871769,30.325530,2018-03-25T11:29:20,car
59.871771,30.325730,2018-03-25T11:29:30,car
59.871773,30.325931,2018-03-25T11:29:40,car
59.871775,30.326131,2018-03-25T11:29:50,car
59.871776,30.326332,2018-03-25T11:30:00,car
59.871778,30.326533,2018-03-25T11:30:10,car
59.871780,30.326733,2018-03-25T11:30:20,car
59.871782,30.326934,2018-03-25T11:30:30,car
59.871784,30.327135,2018-03-25T11:30:40,car
59.871786,30.327335,2018-03-25T11:30:50,car
59.871788,30.327536,2018-03-25T11:31:00,car
59.871789,30.327737,2018-03-25T11:31:10,car
59.871791,30.327937,2018-03-25T11:31:20,car
59.871793,30.328138,2018-03-25T11:31:30,car
59.871795,30.328338,2018-03-25T11:31:40,car
59.871797,30.328539,2018-03-25T11:31:50,car
59.871799,30.328740,2018-03-25T11:32:00,car
59.871801,30.328940,2018-03-25T11:32:10,car
59.871803,30.329141,2018-03-25T11:32:20,car
59.871805,30.329341,2018-03-25T11:32:30,car
59.871806,30.329542,2018-03-25T11:32:40,car
59.871808,30.329743,2018-03-25T11:32:50,car
59.871810,30.329943,2018-03-25T11:33:00,car
59.871812,30.330144,2018-03-25T11:33:10,car
59.871814,30.330345,2018-03-25T11:33:20,car
59.871816,30.330545,2018-03-25T11:33:30,car
59.871818,30.330746,2018-03-25T11:33:40,car
59.871820,30.330946,2018-03-25T11:33:50,car
59.871821,30.331147,2018-03-25T11:34:00,car
59.871823,30.331348,2018-03-25T11:34:10,car
